time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude,pressure,temp,apogee1,apogee2,apogee3,apogee4,flightStage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43565E+12,9.80099,-0.827916,0.842273,0.00167988,0.000305433,-0.000610865,-8.55013,-16.9687,-3.77083,8.23679,1021.8,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43571E+12,9.81057,-0.732203,0.976271,0.00167988,0.00290161,0.00122173,-8.59398,-17.0856,-3.6539,7.87762,1021.86,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43578E+12,9.80578,-0.789631,1.1007,0.0122173,0.000152716,0.00366519,-8.63783,-16.6033,-3.05466,8.57483,1021.94,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43584E+12,9.80099,-0.847059,1.01456,-0.00458149,-0.0056505,0.00397062,-8.68167,-17.0126,-3.69775,8.57483,1021.91,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43591E+12,9.79621,-0.832702,0.937986,0.014508,-0.00610865,0.00397062,-8.56475,-17.4656,-2.90851,8.23679,1021.86,28.3312,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43598E+12,9.81057,-0.894915,0.847059,0.0065668,-0.000458149,-0.000305433,-8.76936,-16.7495,-3.50774,8.23679,1021.84,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43604E+12,9.81057,-0.803988,0.981057,0.00412334,0.00320704,-0.000763581,-8.59398,-16.9103,-3.62467,8.40579,1021.71,28.3268,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43611E+12,9.79142,-0.784845,1.09113,0.0172569,0.000458149,-0.000916298,-8.60859,-16.8664,-3.99006,8.23679,1021.84,28.3401,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43618E+12,9.80099,-0.775274,1.04806,0.00366519,-0.00549779,0.00106901,-8.94475,-16.6033,-3.7416,8.65933,1021.84,28.3401,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43624E+12,9.82014,-0.784845,0.942772,0.0108429,-0.00626137,0.00320704,-8.62321,-16.7203,-3.47851,8.99738,1021.96,28.3312,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43631E+12,9.79621,-0.832702,0.85663,0.00549779,-0.00122173,0.00397062,-8.63783,-17.2757,-3.71236,8.99738,1021.86,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43638E+12,9.79621,-0.837487,0.961914,-0.000763581,0.00427606,0.00274889,-8.30167,-17.3487,-4.23853,8.23679,1021.84,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43644E+12,9.78185,-0.847059,1.05763,0.0125227,0.00213803,0.00106901,-8.17012,-17.1295,-4.38468,8.91287,1021.84,28.3401,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4365E+12,9.79142,-0.832702,1.0672,0.00809396,-0.00488692,-0.000458149,-7.89243,-16.9833,-3.94621,8.32129,1021.84,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43657E+12,9.81057,-0.799202,0.9332,0.0131336,-0.0074831,-0.000763581,-8.40397,-17.3341,-4.09237,8.15228,1021.79,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43664E+12,9.8345,-0.799202,0.861416,0.011301,-0.00259618,0,-8.41859,-16.9249,-4.04852,8.57483,1021.75,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4367E+12,9.81057,-0.770488,0.942772,0.0018326,0.00320704,0.00244346,-8.74013,-17.2757,-3.88775,8.91287,1021.78,28.3401,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43677E+12,9.79142,-0.789631,1.05284,0.00595593,0.00244346,0.00381791,-8.49166,-17.5826,-3.24467,8.82837,1021.79,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43684E+12,9.79621,-0.851844,1.07198,0.00320704,-0.00381791,0.00351247,-8.37474,-17.4656,-4.04852,8.15228,1021.78,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4369E+12,9.80578,-0.85663,0.9667,0.00870483,-0.00702495,0.00213803,-8.7109,-16.9833,-4.35545,7.81424,1021.76,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43697E+12,9.82971,-0.861416,0.89013,0.0117592,-0.00320704,0.000305433,-8.09705,-16.6472,-3.4639,9.27203,1021.81,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43704E+12,9.81057,-0.818345,0.9332,0.00717767,0.00244346,-0.00167988,-8.40397,-17.071,-3.36159,8.23679,1021.75,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4371E+12,9.78664,-0.775274,1.04806,0.00977384,0.00229074,-0.000458149,-8.12627,-16.7787,-3.91698,8.91287,1021.86,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43716E+12,9.80578,-0.775274,1.07677,0.0074831,-0.00229074,0.0018326,-8.37474,-17.261,-4.04852,9.10303,1021.75,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43723E+12,9.81535,-0.784845,0.981057,0.00671952,-0.0065668,0.00366519,-8.56475,-17.071,-3.47851,8.15228,1021.84,28.3357,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4373E+12,9.82971,-0.837487,0.885344,0.00778853,-0.00320704,0.00381791,-8.17012,-16.7641,-3.47851,8.91287,1021.79,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43736E+12,9.80099,-0.842273,0.909272,0.00351247,0.00213803,0.00213803,-8.09705,-16.9687,-4.07775,8.82837,1021.88,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43743E+12,9.80578,-0.842273,1.02891,0.00778853,0.00305432,0.000305433,-8.14089,-17.188,-3.24467,8.15228,1021.83,28.3401,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4375E+12,9.81057,-0.808774,1.0672,0.010232,-0.00229074,-0.000152716,-8.33089,-17.0856,-3.99006,8.59595,1021.93,28.3401,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43756E+12,9.80099,-0.78006,1.01456,0.0119119,-0.0065668,0,-8.31628,-17.1149,-2.98158,8.32129,1021.78,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43763E+12,9.8345,-0.784845,0.923629,0.0105374,-0.00580322,0.000763581,-8.46244,-17.2318,-2.74773,8.32129,1021.83,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43769E+12,9.80578,-0.803988,0.947557,0.00305432,0.00137445,0.00259618,-8.34551,-16.9979,-2.86466,8.82837,1021.78,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43776E+12,9.78185,-0.808774,0.976271,0.00351247,0.00351247,0.00381791,-8.30167,-16.8956,-3.66852,8.68045,1021.81,28.349,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43783E+12,9.79142,-0.842273,1.08155,0.00641408,-0.000610865,0.00305432,-8.49166,-16.691,-3.61005,8.40579,1021.83,28.3535,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43789E+12,9.81057,-0.837487,1.01456,0.00992656,-0.00595593,0.00122173,-7.89243,-16.9249,-2.76235,8.74384,1021.82,28.3446,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43796E+12,9.79621,-0.842273,0.894915,0.0103847,-0.00442877,0,-8.66705,-17.261,-3.59544,8.82837,1021.87,28.349,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43803E+12,9.80099,-0.799202,0.909272,0.00809396,0.000305433,-0.000763581,-8.2432,-17.2026,-2.86466,8.40579,1021.77,28.3535,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43809E+12,9.80578,-0.789631,0.971485,0.0065668,0.00290161,0.000152716,-9.00321,-16.7203,-3.7416,8.74384,1021.88,28.3535,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43815E+12,9.79621,-0.760917,1.08155,0.00626137,-0.00198531,0.00229074,-8.44782,-17.0418,-3.24467,8.49033,1021.8,28.349,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43822E+12,9.81057,-0.808774,1.02413,0.00626137,-0.00519235,0.00427606,-8.47705,-17.2903,-3.69775,8.59595,1021.83,28.349,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43829E+12,9.82492,-0.832702,0.909272,0.00626137,-0.00488692,0.00366519,-8.47705,-17.071,-3.4639,8.93399,1021.86,28.3535,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43835E+12,9.82014,-0.851844,0.904486,0.00580322,-0.000305433,0.00213803,-8.87167,-17.2172,-2.73312,8.59595,1021.79,28.349,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.43842E+12,9.80578,-0.832702,0.990628,0.00824668,0.00290161,-0.000763581,-8.72552,-16.8226,-3.11312,8.68045,1021.84,28.3535,0,0,0,0,PRE_FLIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
