time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude,pressure,temp
3100984161387,-0.430708,0.129212,-0.277567,4.35577,0.0649044,0.134238,-4.79392,-22.4203,-23.1511,310.984,985.767,30.4361
3101059051520,-0.425922,0.105284,-0.26321,4.21207,0.056505,0.0853684,-4.16545,-28.0912,-27.0681,312.326,985.57,30.4449
3101133850098,-0.387637,0.0574277,-0.181854,4.08043,0.0357356,0.0517708,-4.07775,-35.5598,-29.012,312.959,985.371,30.4361
3101208648690,-0.334995,0.00478564,-0.105284,3.96299,0.0065668,0.0251982,-4.23853,-41.6545,-27.9597,315.262,985.371,30.4405
3101288146973,-0.306281,0,-0.0478564,3.83486,-0.00809396,0.0126754,-4.04852,-48.2169,-24.9196,315.896,985.161,30.4316
3101362945565,-0.277567,0.0430708,-0.0478564,3.73269,-0.0184787,0.0149662,-3.81467,-53.2593,-19.658,317.312,984.994,30.4361
3101437774662,-0.248853,0.0957129,-0.0334995,3.65221,-0.0316123,0.00702495,-4.18006,-56.4893,-13.3002,318.664,984.826,30.4361
3101517333994,-0.200997,0.0813559,-0.00478564,3.5479,-0.0409279,-0.00106901,-4.13622,-59.4271,-5.23239,319.456,984.733,30.4361
3101592193609,-0.18664,0.0813559,-0.0622133,3.47582,-0.0620028,-0.00717767,-4.5893,-59.8363,1.91464,321.516,984.585,30.4361
3101666961683,-0.167497,0.0287139,-0.0909272,3.38465,-0.078038,-0.00717767,-4.53084,-58.7109,9.54399,320.798,984.512,30.4361
3101741699225,-0.181854,-0.0239282,-0.0909272,3.31517,-0.0991129,-0.00488692,-4.72084,-56.6501,16.7056,322.139,984.386,30.4405
3101821197522,-0.148355,-0.0717846,-0.105284,3.24965,-0.120188,0.0192422,-4.72084,-52.28,21.7188,323.375,984.324,30.4361
3101896026618,-0.124427,-0.0957129,-0.105284,3.16398,-0.126449,0.0482583,-4.89623,-48.1438,26.0596,323.565,984.261,30.4361
3101970733643,-0.119641,-0.133998,-0.066999,3.04547,-0.128129,0.0817032,-4.64776,-42.8676,29.1874,325.076,984.177,30.4361
3102050231939,-0.0813559,-0.196211,-0.00957128,2.94941,-0.118355,0.125991,-4.67699,-37.6206,30.3274,325.351,984.041,30.4361
3102125061036,-0.0765703,-0.248853,0.0287139,2.82876,-0.0969748,0.16585,-4.66238,-31.6866,30.5905,326.502,983.926,30.4449
3102199859628,-0.0717846,-0.282353,0.0430708,2.73484,-0.0675006,0.19792,-4.51622,-27.1119,28.135,327.294,983.842,30.4361
3102274627688,-0.0287139,-0.339781,0.066999,2.68643,-0.0311541,0.22037,-3.6539,-22.0988,24.6858,327.928,983.842,30.4405
3102354187021,-0.0191426,-0.363709,0.114855,2.66582,0.0126754,0.23335,-3.50774,-17.9626,19.4826,327.928,983.717,30.4361
3102429107671,-0.0287139,-0.430708,0.191426,2.67406,0.0587958,0.233961,-3.3762,-14.6595,14.2502,328.636,983.675,30.4361
3102502990723,-0.0239282,-0.464207,0.277567,2.65833,0.108123,0.22266,-3.24467,-12.3356,8.31628,328.562,983.592,30.4405
3102582489020,-0.0334995,-0.440279,0.358923,2.59679,0.156381,0.200364,-2.30927,-10.7425,1.57849,329.354,983.549,30.4361
3102658172620,-0.0287139,-0.425922,0.440279,2.49706,0.200211,0.168751,-2.13388,-10.6694,-5.30547,329.988,983.539,30.4449
3102732910163,-0.00957128,-0.416351,0.550349,2.40879,0.235183,0.131031,-1.37387,-11.6194,-12.1017,329.27,983.507,30.4449
3102807739259,-0.0191426,-0.445065,0.631705,2.37046,0.260992,0.0934624,-0.657702,-13.344,-17.6264,330.347,983.475,30.4361
3102887268074,-0.00478564,-0.382851,0.756131,2.35565,0.284052,0.0358883,-0.0292312,-16.6764,-23.195,330.421,983.539,30.4449
3102962066652,-0.0143569,-0.354137,0.847059,2.34542,0.285427,-0.0213803,1.30079,-19.7895,-29.1581,329.629,983.413,30.4449
3103036865244,-0.0334995,-0.253639,0.995414,2.40895,0.26817,-0.0797179,1.84157,-24.3204,-32.7974,330.696,983.32,30.4405
3103111633305,-0.0191426,-0.00957128,1.0672,2.50012,0.239001,-0.130878,2.48465,-29.2458,-35.2967,331.847,983.34,30.4449
3103191162119,-0.00957128,0.114855,1.34477,2.54517,0.174402,-0.199447,3.06928,-35.8667,-35.2821,331.847,983.424,30.4449
3103265991216,-0.0239282,0.421136,1.36391,2.48362,0.103389,-0.232587,3.1862,-41.1722,-35.1213,331.414,983.34,30.4361
3103339782727,-0.0287139,0.866201,1.15334,2.41551,0.0600175,-0.241597,3.88775,-46.7407,-34.259,329.893,983.433,30.4449
3103419311528,-0.0143569,1.04327,1.05284,2.39612,0.0256563,-0.262519,4.19468,-52.0169,-30.6051,329.629,983.382,30.4449
3103494171143,-0.0287139,1.26341,0.904486,2.49599,-0.00259618,-0.283441,4.22391,-56.9424,-25.9719,329.354,983.424,30.4494
3103568908699,-0.0287139,1.47876,0.655633,2.70766,-0.032834,-0.307418,5.07162,-61.5902,-20.5934,330.781,983.443,30.4449
3103643737795,-0.0382851,1.77547,0.0478564,3.08365,-0.0849102,-0.334449,5.32008,-65.3171,-11.9994,330.073,983.6,30.4449
3103723205574,-0.0526421,1.88554,-0.650847,3.42329,-0.176693,-0.341626,6.16779,-67.8164,-0.496931,329.354,983.507,30.4449
3103798065188,-0.0861416,1.87597,-1.31127,3.45597,-0.30528,-0.315665,7.14703,-67.7141,8.9886,329.175,983.549,30.4449
3103872863780,-0.0861416,2.08175,-1.40219,3.28829,-0.446084,-0.265574,8.12627,-65.9895,19.9211,328.467,983.622,30.4449
3103947753913,-0.100498,1.7659,-2.19661,3.16031,-0.554818,-0.21029,8.34551,-62.7302,28.6904,327.136,983.81,30.4449
3104027221691,-0.0957129,0.770488,-3.18245,3.24965,-0.647822,-0.0913243,9.98246,-56.4893,37.1236,323.829,984.177,30.4405
3104102111824,-0.100498,0.0191426,-3.7328,3.59326,-0.694248,0.0288634,11.1517,-49.2546,42.356,323.925,984.261,30.4449
3104176879884,-0.0813559,-2.35454,-3.71844,4.02957,-0.676075,0.25748,12.6425,-38.0444,45.7176,323.122,984.344,30.4449
3104256286627,-0.105284,-3.59402,-3.53659,3.97032,-0.542906,0.570853,14.7033,-26.805,44.2414,325.71,983.987,30.4449
3104331085205,-0.114855,-4.08694,-4.02951,3.55157,-0.355065,0.80848,16.6764,-17.568,39.0967,328.636,983.748,30.4361
3104405914315,-0.191426,-5.31685,-2.58903,3.44345,-0.160352,0.949895,19.1611,-10.3186,31.0874,328.108,983.768,30.4449
3104480712894,-0.253639,-6.42233,-1.13898,3.86525,0.0436769,1.01358,22.1865,-3.4639,20.1111,324.643,983.945,30.4405
3104560180672,-0.229711,-6.72383,1.1677,4.78002,0.379653,0.958142,24.9927,-0.23385,3.05466,324.284,984.177,30.4449
3104635162359,-0.315852,-5.70927,3.11067,4.16488,0.744034,0.769384,28.1497,-1.85618,-11.0494,324.189,984.238,30.4449
3104709930433,-0.320638,-4.58465,4.99142,3.39106,0.988533,0.548404,30.9851,-5.36393,-21.2365,323.122,984.312,30.4405
3104785552984,-0.258425,-3.67537,6.21176,3.36495,1.10475,0.303142,34.7851,-11.7363,-30.8682,323.312,984.448,30.4449
3104865173352,-0.196211,-1.50748,7.2646,3.8819,1.04809,-0.0267254,37.6644,-20.4472,-36.8021,321.336,984.596,30.4449
3104940032967,-0.191426,0.440279,7.28853,4.57202,0.835969,-0.384081,40.4268,-31.7305,-40.7922,320.27,984.679,30.4538
3105014862063,-0.22014,3.56052,6.72383,4.43213,0.60552,-0.469144,42.6045,-42.6191,-39.9152,319.741,984.679,30.4494
3105089630137,-0.124427,5.00578,6.44626,3.62044,0.30925,-0.562607,43.9491,-52.0462,-35.7936,320.544,984.615,30.4494
3105169128420,-0.0861416,6.61376,4.50808,3.81959,-0.0555887,-0.554207,44.9138,-59.924,-29.2458,318.484,984.93,30.4405
3105243957530,-0.066999,7.68096,1.26341,5.00054,-0.29123,-0.392328,44.7968,-68.518,-15.3172,318.125,985.117,30.4494
3105318756109,-0.0526421,8.84387,-1.34955,5.0036,-0.582613,-0.0448986,43.7299,-73.0488,2.55773,321.336,984.521,30.4494
3105593322761,0.0239282,-1.55055,-9.08315,5.0036,0.221591,0.308181,38.7606,-40.456,48.0854,306.336,986.22,30.4227
