time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude
3682980000000,-1.2682,-0.727417,0.555135,-3.47888,0.0174097,0.210443,-58.6963,-27.5943,24.8611,524.215
3683060000000,-1.18684,-0.66999,0.497707,-3.36312,0.0157298,0.255494,-58.5793,-27.9012,24.2327,526.962
3683150000000,-1.14377,-0.612562,0.48335,-3.24889,-0.00152716,0.285427,-58.8278,-28.2227,24.6712,530.511
3683230000000,-1.09113,-0.622133,0.512064,-3.17741,-0.0235183,0.299935,-58.3893,-28.3835,25.3435,531.229
3683310000000,-1.03848,-0.698704,0.497707,-3.14718,-0.0386372,0.308487,-58.4332,-28.3689,25.1827,534.589
3683400000000,-1.02413,-0.74656,0.516849,-3.12488,-0.0584903,0.33399,-58.8132,-28.7927,25.2996,536.913
3683480000000,-0.995414,-0.732203,0.368494,-3.06502,-0.0763581,0.355065,-58.7986,-28.5881,26.5566,539.564
3683560000000,-0.947557,-0.722632,0.440279,-2.97537,-0.124464,0.365908,-58.3309,-28.9681,27.185,542.511
3683640000000,-0.880558,-0.583848,0.445065,-2.87336,-0.15012,0.36148,-58.404,-29.2604,27.0973,543.114
3683720000000,-0.832702,-0.660419,0.37328,-2.84831,-0.163406,0.335518,-58.2578,-29.5674,27.7989,546.145
3683800000000,-0.799202,-0.74656,0.378066,-2.80677,-0.18326,0.325897,-57.8632,-30.3566,28.3835,547.572
3683890000000,-0.751346,-0.674776,0.282353,-2.74828,-0.20632,0.32666,-57.7609,-30.7805,29.2458,550.498
3683970000000,-0.717846,-0.674776,0.287138,-2.64169,-0.234878,0.312152,-57.5709,-32.0666,28.9097,551.839
3684050000000,-0.693918,-0.660419,0.210568,-2.55067,-0.268017,0.295201,-57.5709,-32.3736,29.2312,553.783
3684130000000,-0.626919,-0.545563,0.129212,-2.43506,-0.292299,0.268933,-57.2932,-33.1774,28.8951,554.85
3684220000000,-0.598205,-0.435493,0.148355,-2.3219,-0.322537,0.228616,-57.2201,-33.5721,30.3566,558.051
3684300000000,-0.564706,-0.392423,0.100498,-2.21423,-0.337503,0.17318,-56.7085,-34.3759,30.5466,558.325
3684380000000,-0.516849,-0.349352,0.124427,-2.16032,-0.340557,0.121868,-56.4455,-35.6036,30.1958,560.375
3684480000000,-0.44985,-0.311067,0.162712,-2.08015,-0.334907,0.0481056,-56.5478,-36.9336,29.4358,561.97
3684570000000,-0.445065,-0.291924,0.177069,-2.0406,-0.309403,-0.0018326,-56.1532,-38.4537,28.7781,562.678
3684650000000,-0.40678,-0.26321,0.210568,-2.00852,-0.275347,-0.0406225,-55.7878,-39.7837,27.7404,563.227
3684740000000,-0.358923,-0.26321,0.229711,-1.98149,-0.233809,-0.0784962,-55.3493,-41.3476,26.2642,564.653
3684820000000,-0.339781,-0.244068,0.22014,-1.97584,-0.184481,-0.111636,-55.1885,-41.6691,24.8611,566.238
3684900000000,-0.306281,-0.258425,0.301496,-1.99921,-0.136376,-0.122478,-54.9547,-42.1953,22.0696,567.664
3684980000000,-0.26321,-0.224925,0.282353,-2.02761,-0.0792598,-0.13775,-54.9985,-42.9699,19.7749,569.09
3685060000000,-0.258425,-0.162712,0.325424,-2.04472,-0.00946841,-0.142179,-54.5016,-43.3791,16.8226,569.734
3685140000000,-0.229711,-0.129212,0.282353,-2.03846,0.0458149,-0.13607,-53.9316,-42.546,13.3294,570.791
3685230000000,-0.229711,-0.105284,0.378066,-2.03296,0.106749,-0.132405,-54.0193,-42.4437,9.93861,571.308
3685310000000,-0.215354,-0.124427,0.421136,-2.0606,0.166919,-0.128587,-53.8439,-41.4352,6.10932,572.228
3685390000000,-0.196211,-0.143569,0.421136,-2.10932,0.228922,-0.105832,-53.347,-39.126,3.68313,573.199
3685480000000,-0.191426,-0.210568,0.478564,-2.19438,0.294437,-0.0696386,-52.7623,-36.2759,0.686934,574.076
3685560000000,-0.215354,-0.200997,0.502492,-2.31014,0.351095,-0.00992656,-52.587,-33.1628,-1.82695,573.125
3685640000000,-0.210568,-0.339781,0.531206,-2.41994,0.386067,0.0679587,-52.0462,-29.4651,-3.9316,574.076
3685720000000,-0.22014,-0.378066,0.545563,-2.57571,0.415999,0.158214,-51.3885,-24.7296,-5.55393,574.985
3685800000000,-0.224925,-0.502492,0.550349,-2.68048,0.421039,0.271682,-50.9062,-19.8041,-5.37854,574.636
3685890000000,-0.234496,-0.646062,0.478564,-2.71636,0.398284,0.384081,-49.8831,-14.6302,-3.25928,575.428
3685970000000,-0.253639,-0.756131,0.48335,-2.61282,0.328035,0.500299,-49.0646,-9.74861,-0.0876937,575.175
3686050000000,-0.248853,-0.861416,0.425922,-2.49661,0.240375,0.598342,-47.7053,-5.94855,4.09237,577.288
3686130000000,-0.287138,-1.00498,0.162712,-2.47981,0.155312,0.66569,-46.4484,-2.8062,11.3563,576.495
3686210000000,-0.291924,-1.07198,0.00478564,-2.58472,0.0352775,0.733038,-44.5776,-0.540777,18.6495,576.22
3686300000000,-0.330209,-1.08634,-0.0765703,-2.68719,-0.111483,0.768163,-42.7799,0.116925,27.2289,576.928
3686380000000,-0.368494,-1.05284,-0.153141,-2.54471,-0.259923,0.760069,-40.7337,-0.248465,35.7644,576.052
3686460000000,-0.382851,-1.0337,-0.200997,-2.24493,-0.418443,0.708145,-37.8106,-2.64542,43.6568,575.692
3686550000000,-0.421136,-0.928415,-0.339781,-1.73486,-0.558636,0.627358,-35.5452,-4.96931,50.2192,575.502
3686630000000,-0.454636,-0.794416,-0.378066,-1.40514,-0.655916,0.557262,-32.8266,-7.1178,54.1216,575.344
3686710000000,-0.478564,-0.674776,-0.349352,-1.15224,-0.752128,0.479835,-29.4358,-9.39783,58.0386,575.428
3686790000000,-0.507278,-0.636491,-0.282353,-0.970206,-0.832914,0.407905,-26.805,-11.6633,60.8594,574.076
3686870000000,-0.55992,-0.579063,-0.224925,-0.87766,-0.882242,0.361021,-23.3557,-14.2941,63.5925,573.728
3686960000000,-0.555135,-0.545563,-0.119641,-0.805273,-0.925155,0.313679,-19.5411,-16.6179,65.2295,573.368
3687040000000,-0.588634,-0.507278,0.0191426,-0.779922,-0.952797,0.269544,-16.5449,-18.9857,66.9395,572.661
